City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Toyooka,JP,35.5333,134.8333,55.04,86,32,3.98,scattered clouds
80,Tuktoyaktuk,CA,69.4541,-133.0374,16.27,85,72,10.56,broken clouds
81,Khatanga,RU,71.9667,102.5,-2.02,97,100,12.1,light snow
82,Codrington,AU,-38.2667,141.9667,55.72,95,83,6.42,broken clouds
83,Clyde River,CA,70.4692,-68.5914,-4.41,79,95,7.2,overcast clouds
84,Lebu,CL,-37.6167,-73.65,55.63,91,100,13.49,overcast clouds
85,Lumby,CA,50.2498,-118.969,11.3,91,57,0.94,broken clouds
86,Kodiak,US,57.79,-152.4072,36.91,52,0,20.71,clear sky
87,Lompoc,US,34.6391,-120.4579,54.84,83,0,6.91,clear sky
88,Vila Franca Do Campo,PT,37.7167,-25.4333,72.19,89,91,30.27,light rain
89,Dongsheng,CN,39.8161,109.9776,48.96,85,100,9.42,overcast clouds
90,Arbagar,RU,51.9438,116.2805,23.58,88,100,1.63,overcast clouds
91,Sao Filipe,CV,14.8961,-24.4956,78.87,69,85,9.75,overcast clouds
92,Mildura,AU,-34.2,142.15,60.08,90,20,7.87,few clouds
93,Georgetown,MY,5.4112,100.3354,80.53,78,40,6.91,light rain
94,Butaritari,KI,3.0707,172.7902,80.8,75,100,19.62,overcast clouds
95,Zalantun,CN,48.0,122.7167,31.03,41,100,5.08,overcast clouds
96,Vila Velha,BR,-20.3297,-40.2925,87.75,59,40,12.66,scattered clouds
97,Madera,US,37.1666,-119.8343,49.98,78,0,1.01,clear sky
98,Tanete,ID,-3.9443,119.7848,75.54,95,100,1.21,overcast clouds
99,Yerofey Pavlovich,RU,53.9667,121.9667,6.67,95,8,3.15,clear sky
100,Hamilton,US,39.1834,-84.5333,67.14,44,0,9.22,clear sky
101,Yinchuan,CN,38.4681,106.2731,54.88,57,100,5.3,overcast clouds
102,Itacare,BR,-14.2775,-38.9967,82.78,62,37,6.58,scattered clouds
103,Kars,TR,40.602,43.095,37.85,65,75,5.75,broken clouds
104,Puerto Palomas,MX,31.7667,-107.6167,55.0,58,42,9.51,scattered clouds
105,Punta Arenas,CL,-53.15,-70.9167,53.71,40,0,17.27,clear sky
106,Katsuura,JP,35.1333,140.3,62.02,67,9,6.78,clear sky
107,San Quintin,MX,30.4833,-115.95,59.59,58,25,4.59,scattered clouds
108,Kavieng,PG,-2.5744,150.7967,82.0,73,97,5.23,light rain
109,Dicabisagan,PH,17.0818,122.4157,77.95,90,69,4.16,broken clouds
110,Whitehorse,CA,60.7161,-135.0538,20.17,76,75,21.85,broken clouds
111,Celestun,MX,20.8667,-90.4,80.49,66,1,5.7,clear sky
112,Vanderhoof,CA,54.0166,-124.0198,-2.52,98,60,2.35,broken clouds
113,Nanortalik,GL,60.1432,-45.2371,29.95,71,100,13.15,overcast clouds
114,Ambunti,PG,-4.2365,142.8448,73.99,99,100,0.72,overcast clouds
115,Bathsheba,BB,13.2167,-59.5167,83.01,78,20,13.8,few clouds
