City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
285,Kununurra,AU,80.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
297,Carutapera,BR,87.17,scattered clouds,-1.195,-46.02,Lidera
305,Pemangkat,ID,78.55,moderate rain,1.1667,108.9667,Hotel Duyung Permai 2
307,Bria,CF,80.31,broken clouds,6.5423,21.9863,WFP Guesthouse
308,Boa Vista,BR,87.78,light rain,2.8197,-60.6733,Aipana Plaza Hotel
317,Praya,CV,84.74,clear sky,14.9215,-23.5087,LT Aparthotel
318,Porto Novo,BJ,85.46,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
320,Veraval,IN,80.47,clear sky,20.9,70.3667,Lords Inn Somnath
330,San Patricio,US,83.88,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
332,Bacolod,PH,78.73,scattered clouds,10.6667,122.95,Planta Hotel & Residences
339,Mucurapo,TT,85.01,light rain,10.6667,-61.5333,Courtyard by Marriott Port of Spain
340,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
341,Viljoenskroon,ZA,75.18,scattered clouds,-27.2084,26.9485,DIE LAPA
343,Sorong,ID,80.01,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
355,Vilhena,BR,89.82,scattered clouds,-12.7406,-60.1458,Hotel Mirage
356,Cam Ranh,VN,80.56,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
358,Les Cayes,HT,84.36,broken clouds,18.2,-73.75,Villa Orphee
359,Marsh Harbour,BS,79.92,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
360,Kalmunai,LK,77.14,overcast clouds,7.4167,81.8167,VS Villa
365,Kutum,SD,76.64,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
369,Rio Grande,BR,78.91,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
373,La Mata,PA,78.57,moderate rain,8.0833,-80.8833,Black Lion Inn
375,Sao Jose Da Coroa Grande,BR,83.44,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
376,Alyangula,AU,82.36,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
377,Buraydah,SA,79.25,broken clouds,26.326,43.975,Mövenpick Qassim
379,Umm Lajj,SA,78.15,scattered clouds,25.0213,37.2685,Moon light Furnished Units
380,Ixtapa,MX,82.22,clear sky,20.7,-105.2,hotel la terminal
386,Luganville,VU,77.5,few clouds,-15.5333,167.1667,The Espiritu Hotel
392,Manokwari,ID,78.96,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
398,Hithadhoo,MV,82.09,broken clouds,-0.6,73.0833,Scoop Guest House
399,Bryan,US,76.48,broken clouds,30.6744,-96.37,Best Western Premier Bryan College Station
401,Bengkulu,ID,75.78,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
403,Nuevo Progreso,MX,83.53,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
405,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
407,Samarai,PG,80.46,broken clouds,-10.6167,150.6667,Nuli Sapi
413,Panaba,MX,84.09,few clouds,21.2833,-88.2667,Hotel Don Fernando
415,Ambilobe,MG,77.81,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
416,Benemerito De Las Americas,MX,79.99,scattered clouds,16.5167,-90.6439,Residencia Univeresitaria
417,Pitimbu,BR,88.39,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
421,Ca Mau,VN,76.28,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
432,Hambantota,LK,78.58,overcast clouds,6.1241,81.1185,Bungalow 63
436,Rosa Zarate,EC,86.81,broken clouds,0.3333,-79.4667,Piscinas y Recepciones Hecalash
439,Santa Rosa,PH,78.78,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
442,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
444,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
447,Ugoofaaru,MV,81.81,overcast clouds,5.6667,73.0,Ungoofaaru Inn
450,Fare,PF,78.66,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
455,Weligama,LK,77.76,overcast clouds,5.9667,80.4167,Weligama Bay Resort
460,Dingle,PH,76.37,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
465,Bitung,ID,77.85,light rain,1.4451,125.1824,K2 Lembeh
466,Cartagena,CO,83.82,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
468,Tabou,CI,82.04,scattered clouds,4.423,-7.3528,hotêl doufoulougou
472,Mandera,KE,85.91,light rain,3.9366,41.867,Red Sea Resort & Suites Mandera County
474,Bonthe,SL,84.15,light rain,7.5264,-12.505,Bonthe Holiday Village
475,Xuddur,SO,82.94,broken clouds,4.1213,43.8894,Banjanay Hotel
477,Touros,BR,86.0,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
478,Danane,CI,84.81,broken clouds,7.2596,-8.155,Lmd
486,Tiarei,PF,77.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
488,Eyl,SO,80.33,few clouds,7.9803,49.8164,EYL AQUE SYSTEM
490,Kalianget,ID,81.88,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
491,Puerto Escondido,MX,83.23,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
492,Wamba,NG,89.13,broken clouds,8.9333,8.6,Roma Zee Guest House Annex
515,San Andres,CO,77.02,drizzle,12.5847,-81.7006,Hotel Arena Blanca
525,Mecca,SA,82.47,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
526,Puerto Plata,DO,87.71,scattered clouds,19.7934,-70.6884,Be Live Collection Marien
527,Champerico,GT,88.34,light rain,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
535,Maumere,ID,80.91,broken clouds,-8.6199,122.2111,Sylvia Hotel
556,Qeshm,IR,78.69,few clouds,26.9581,56.2719,Qeshm Kavan Hotel
557,Maldonado,UY,78.19,scattered clouds,-34.6667,-54.9167,La Cimarrona
558,Moron,AR,84.02,scattered clouds,-34.6534,-58.6198,Hotel Morón
560,Lengshuitan,CN,77.83,broken clouds,26.4111,111.5956,Jialong Hotel
564,Mersing,MY,76.91,scattered clouds,2.4312,103.8405,Timotel Hotel
577,Bocana De Paiwas,NI,80.02,few clouds,12.7857,-85.1227,Guapinol Cabaña Monge
578,Ternate,ID,81.68,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
581,Sola,VU,80.53,overcast clouds,-13.8833,167.55,Leumerus Bungalows
589,Lubao,PH,80.67,heavy intensity rain,14.9167,120.55,Hacienda Gracia
591,Bambanglipuro,ID,77.2,moderate rain,-7.95,110.2833,Puri Brata
604,Mayumba,GA,78.98,light rain,-3.432,10.6554,LIKWALE LODGE
607,Nouadhibou,MR,75.18,broken clouds,20.931,-17.0347,El Medina
618,Muisne,EC,76.32,overcast clouds,0.6,-80.0333,Quinta Samay
621,Limon,CR,86.05,few clouds,10.0,-83.0333,Hotel Playa Bonita
622,Takoradi,GH,82.83,moderate rain,4.8845,-1.7554,Raybow International Hotel
